yearID,rpg,hrpg,kpg,bbpg,avg
1964,4.03567035670357,0.849323493234932,5.90774907749078,2.95848708487085,0.250479794322132
1965,3.9882932840419,0.828096118299446,5.94054220579174,3.09180529882933,0.245600925833113
1966,3.9938080495356,0.84922600619195,5.82198142414861,2.88885448916409,0.248540656088136
1967,3.76851851851852,0.709567901234568,5.99166666666667,2.98302469135802,0.242333226500618
1968,3.41815384615385,0.613846153846154,5.89015384615385,2.81723076923077,0.236692382758557
1969,4.07245632065776,0.801387461459404,5.77415210688592,3.45041109969168,0.248166231233862
1970,4.34156378600823,0.881944444444445,5.75462962962963,3.53060699588477,0.253935220220978
1971,3.88880288957688,0.738648090815274,5.40660474716202,3.23426212590299,0.249318237529109
1972,3.68639053254438,0.681549220010759,5.57235072619688,3.15411511565358,0.24380747909123
1973,4.21410190427175,0.79825012866701,5.23880597014925,3.37107565620175,0.256944916630781
1974,4.12493573264782,0.680976863753213,5.01156812339332,3.33239074550129,0.256842789741108
1975,4.21277145811789,0.697518097207859,4.98448810754912,3.46483971044467,0.257566192298038
1976,3.99484270242393,0.576328004125838,4.83367715317174,3.19520371325425,0.255449534309067
1977,4.47051830718022,0.866381359961959,5.16452686638136,3.27080361388493,0.264191699947908
1978,4.1034728829686,0.70313986679353,4.77117031398668,3.22692673644148,0.257884959065319
1979,4.45972354623451,0.818160152526215,4.77478551000953,3.24142040038132,0.265498067118606
1980,4.28812351543943,0.733254156769596,4.80095011876485,3.13301662707839,0.264594894561598
1981,3.99820659971306,0.638809182209469,4.74784791965567,3.18077474892396,0.255718928303005
1982,4.29757949691505,0.801850972947318,5.03583293782629,3.15662078785002,0.261195013492983
1983,4.30772878141299,0.782598387861546,5.1484115694642,3.20483641536273,0.260857751954186
1984,4.25676959619952,0.773871733966746,5.34441805225653,3.16389548693587,0.259898907730708
1985,4.33095577746077,0.856395625297195,5.3378506894912,3.29006181645269,0.257053992661192
1986,4.40917736566809,0.906562054208274,5.87398953875416,3.38254873989539,0.257711067320727
1987,4.72280285035629,1.05890736342043,5.96175771971496,3.41781472684086,0.26298622436587
1988,4.13809523809524,0.757142857142857,5.56071428571429,3.09142857142857,0.254222546433982
1989,4.13224121557455,0.731956315289649,5.61490978157645,3.21177587844255,0.254115291168666
1990,4.2562945368171,0.787885985748219,5.66579572446556,3.29026128266033,0.257879917068251
1991,4.30774714828897,0.803944866920152,5.79610266159696,3.32319391634981,0.255707570924962
1992,4.1170465337132,0.721272554605888,5.58831908831909,3.24833808167142,0.255740228839358
1993,4.59762009695901,0.888056412516527,5.79770824151609,3.32966064345527,0.265092422336204
1994,4.9225,1.033125,6.176875,3.4784375,0.26973863203526
1995,4.84729796727814,1.01165096678235,6.30267724343084,3.5299950421418,0.266830722156873
1996,5.03550948389943,1.09439788266431,6.46404940449934,3.54940449933833,0.269896237906646
1997,4.76699029126214,1.02383053839365,6.60569285083848,3.4567519858782,0.266800910974151
1998,4.78967927631579,1.04111842105263,6.5569490131579,3.38137335526316,0.266216280906676
1999,5.08463756177924,1.13838550247117,6.4083607907743,3.68430807248764,0.271196682960685
2000,5.14018114450391,1.17188143268835,6.45450802799506,3.75401399752985,0.270464462908721
2001,4.7754219843557,1.12350761630301,6.67023466447098,3.2536023054755,0.263959238182321
2002,4.61830173124485,1.04266281945589,6.47032151690025,3.34830997526793,0.26133275356017
2003,4.72798353909465,1.07139917695473,6.33765432098765,3.26934156378601,0.264230494731223
2004,4.81383855024712,1.12252883031301,6.55436573311367,3.34060955518946,0.266036461850101
2005,4.59173179761415,1.03187988482106,6.30275606746195,3.12772521596051,0.264472299876755
2006,4.85776039522437,1.10868670234664,6.51605599011939,3.26204199258954,0.269348217113559
2007,4.79679144385027,1.01953928424517,6.62052653229124,3.30707527766351,0.268066490645655
2008,4.65094728171335,1.00453047775947,6.77182866556837,3.36429159802306,0.263757092985592
2009,4.61296296296296,1.03744855967078,6.91172839506173,3.41975308641975,0.262431488884467
2010,4.3843621399177,0.94917695473251,7.05884773662551,3.24650205761317,0.257352452026876
2011,4.28324413338823,0.937011115685467,7.09921778509675,3.09139563606422,0.255073775685707
2012,4.32448559670782,1.01522633744856,7.49506172839506,3.02654320987654,0.25454006329765
2013,4.16598107774578,0.958658988070753,7.5503907856849,3.01110654051831,0.253465406154032
2014,4.06604938271605,0.861316872427983,7.70390946502058,2.88477366255144,0.251156303211081
2015,4.25010292301359,1.01049814738576,7.70811033347056,2.89687114038699,0.254435366914822
2016,4.47775947281713,1.15527182866557,8.02759472817133,3.10708401976936,0.255349991845906
2017,4.64650205761317,1.25617283950617,8.25185185185185,3.25699588477366,0.254972307283456
2018,4.44878650761004,1.14870423693953,8.47531879884821,3.2262443438914,0.247950819672131
2019,4.83058871963771,1.39481268011527,8.81494442157266,3.27192260189378,0.252257712224949
2020,4.64587973273942,1.28285077951002,8.67817371937639,3.39198218262806,0.244604438421142
2021,4.53067105804858,1.22354878550844,8.67538081515027,3.25113215314944,0.243817192681285
2022,4.28333333333333,1.07304526748971,8.39753086419753,3.05617283950617,0.242712507264552
2023,4.6156378600823,1.20740740740741,8.60967078189301,3.25493827160494,0.248385213297814
2024,4.39337175792507,1.12247838616715,8.48023878139152,3.07307533964595,0.243287493814414
2025,4.44732510288066,1.16255144032922,8.36316872427984,3.16440329218107,0.245246358392805
